,Agricultural land (1000 ha),Date-Monthly,Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha)
0,37450.0,Jun-10,11600.0,94730.0,13450.0,47920.0,88580.0,1850.0,47680.0,240.0,0.0
1,38300.0,Jun-11,12300.0,94730.0,14300.0,47548.0,88580.0,2000.0,47298.0,250.0,0.0
2,39700.0,Jun-12,13600.0,94730.0,15700.0,47176.0,88580.0,2100.0,46916.0,260.0,0.0
3,39650.0,Jun-13,13500.0,94730.0,15650.0,46804.0,88580.0,2150.0,46534.0,270.0,0.0
4,39650.0,Jun-14,13500.0,94730.0,15650.0,46432.0,88580.0,2150.0,46152.0,280.0,0.0
5,39650.0,Jun-15,13500.0,94730.0,15650.0,46060.0,88580.0,2150.0,45770.0,290.0,0.0
6,39650.0,Jun-16,13500.0,94730.0,15650.0,46060.0,88580.0,2150.0,45770.0,290.0,0.0
7,39650.0,Jun-17,13500.0,94730.0,15650.0,46060.0,88580.0,2150.0,45770.0,290.0,0.0
