,Agricultural land (1000 ha),Date-Monthly,Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha)
0,14265.0,Jun-10,6750.0,24155.0,8950.0,2753.0,20052.0,2200.0,2698.0,55.0,0.0
1,14365.0,Jun-11,6850.0,24155.0,9050.0,2617.8,20052.0,2200.0,2561.8,56.0,0.0
2,14415.0,Jun-12,6900.0,24155.0,9100.0,2482.6,20052.0,2200.0,2425.6,57.0,0.0
3,14415.0,Jun-13,6900.0,24155.0,9100.0,2347.4,20052.0,2200.0,2289.4,58.0,0.0
4,14415.0,Jun-14,6900.0,24155.0,9100.0,2212.2,20052.0,2200.0,2153.2,59.0,0.0
5,14415.0,Jun-15,6900.0,24155.0,9100.0,2077.0,20052.0,2200.0,2017.0,60.0,0.0
6,14415.0,Jun-16,6900.0,24155.0,9100.0,2077.0,20052.0,2200.0,2017.0,60.0,0.0
7,14415.0,Jun-17,6900.0,24155.0,9100.0,2077.0,20052.0,2200.0,2017.0,60.0,0.0
