Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","114","Kenya","5110","Area","6717","Other naturally regenerated forest","2010","2010","1000 ha","4037","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","114","Kenya","5110","Area","6717","Other naturally regenerated forest","2011","2011","1000 ha","4068.2","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6717","Other naturally regenerated forest","2012","2012","1000 ha","4099.4","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6717","Other naturally regenerated forest","2013","2013","1000 ha","4130.6","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6717","Other naturally regenerated forest","2014","2014","1000 ha","4161.8","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6717","Other naturally regenerated forest","2015","2015","1000 ha","4193","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","114","Kenya","5110","Area","6717","Other naturally regenerated forest","2016","2016","1000 ha","4193","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6717","Other naturally regenerated forest","2017","2017","1000 ha","4193","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6716","Planted Forest","2010","2010","1000 ha","193","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","114","Kenya","5110","Area","6716","Planted Forest","2011","2011","1000 ha","198.4","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6716","Planted Forest","2012","2012","1000 ha","203.8","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6716","Planted Forest","2013","2013","1000 ha","209.2","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6716","Planted Forest","2014","2014","1000 ha","214.6","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6716","Planted Forest","2015","2015","1000 ha","220","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","114","Kenya","5110","Area","6716","Planted Forest","2016","2016","1000 ha","220","Fm","Manual Estimation"
