,Date-Monthly,precip,mintemp,maxtemp
139,Aug-11,66.71178,11.46053,23.025166
140,Sep-11,85.158875,11.033573,24.36753
141,Oct-11,82.532135,10.232354,24.20126
142,Nov-11,73.52359,10.84224,23.754436
143,Dec-11,31.145615,10.7222185,24.551083
144,Jan-12,25.901628,8.786958,26.622728
145,Feb-12,15.743191,10.029417,27.294146
146,Mar-12,23.613285,11.265604,27.476
147,Apr-12,140.58746,12.363864,25.104853
148,May-12,141.09537,12.908521,24.724125
149,Jun-12,63.494537,11.654428,23.765781
150,Jul-12,76.38057,11.112219,23.319262
151,Aug-12,109.013176,11.315218,24.087666
152,Sep-12,97.43759,10.961699,25.620655
153,Oct-12,89.9344,11.010479,25.546574
154,Nov-12,97.31498,11.54224,24.707561
155,Dec-12,152.33153,10.7222185,23.833895
156,Jan-13,36.242786,10.974458,27.28054
157,Feb-13,33.439835,10.284104,27.423834
158,Mar-13,128.58272,11.565604,26.976
159,Apr-13,195.19939,11.9513645,23.787666
160,May-13,62.337246,12.542896,25.403812
161,Jun-13,54.551296,10.046615,23.570469
162,Jul-13,64.16795,10.979406,24.19895
163,Aug-13,119.75343,10.918344,23.487667
164,Sep-13,104.10094,10.758573,25.412842
165,Oct-13,45.888294,11.169854,26.138762
166,Nov-13,64.49795,11.534428,25.474749
167,Dec-13,97.62396,11.359718,24.801083
168,Jan-14,16.562601,10.486958,26.510227
169,Feb-14,48.108727,10.929417,26.911335
170,Mar-14,81.096146,11.328105,27.068188
171,Apr-14,44.359688,11.463864,24.850166
172,May-14,69.29558,13.075708,25.499125
173,Jun-14,86.288376,12.246614,24.707968
174,Jul-14,52.708405,12.179406,24.38645
175,Aug-14,86.016464,11.193343,22.58298
176,Sep-14,67.42144,10.478886,24.620655
177,Oct-14,59.86954,10.552667,24.68876
178,Nov-14,80.48516,11.139115,24.571623
179,Dec-14,55.3795,10.547218,24.788582
180,Jan-15,27.331753,9.699458,25.960228
181,Feb-15,37.158646,10.166917,26.873835
182,Mar-15,64.54486,11.0702915,26.572874
183,Apr-15,147.94633,12.251365,24.654854
184,May-15,111.0274,12.275708,24.386625
185,Jun-15,64.55424,11.804427,23.59078
