index,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price,Date-Monthly
10,-2.606927622222222,-0.19513844444444395,0.33038177777777733,-0.009138868020236668,-0.1046070635347297,-2768.423074074075,-4626.360064814806,-2321.1221666666643,-2305.2378703703725,-1928.204111111112,-0.5555555555555571,0.029259259259259096,-171.85185185185037,-166.66666666666697,0.0,-171.85185185185128,-115.22222222222263,0.0,-5.185185185185105,-98.22222222222263,-17.0,0.0,-0.16044444444444445,Nov-10
11,-4.094977244444445,0.35555544444444465,0.9366322222222223,-0.004611830820521412,-0.09936399131487206,-2761.735999999997,-4617.411055555553,-2316.668555555556,-2300.7434444444443,-1929.0628888888878,-0.5555555555555571,0.023333333333333206,-148.8888888888905,-144.44444444444434,0.0,-148.8888888888887,-113.86666666666679,0.0,-4.444444444444457,-97.06666666666706,-16.80000000000001,0.0,-0.026222222222222258,Dec-10
12,-1.364278033333333,-0.4180560555555566,0.5083333333333329,0.0033446372651381173,-0.08407758578617719,-2103.390249999993,-3515.9890092592614,-1764.1623240740737,-1751.8288425925894,-1463.307527777777,-0.5555555555555571,0.018518518518518823,-91.48148148148175,-88.88888888888869,0.0,-91.48148148148084,-92.17777777777701,0.0,-2.5925925925926094,-78.57777777777756,-13.599999999999994,0.0,-0.0464444444444444,Jan-11
13,-0.9078746333333334,-0.662846666666665,0.24687444444444395,0.040665607311697216,-0.020840387691508644,-2103.132888888882,-3517.4926296296253,-1764.9447037037062,-1752.5510740740792,-1468.0416666666642,-0.5555555555555571,0.01259259259259271,-68.51851851851825,-66.66666666666697,0.0,-68.51851851851916,-90.82222222222208,0.0,-1.8518518518518476,-77.4222222222229,-13.400000000000006,0.0,-0.0311111111111112,Feb-11
14,1.2317396333333335,0.1204862777777791,0.08350755555555978,8.95043775177573e-05,-0.06174153283877937,-2102.875527777778,-3518.9962499999965,-1765.7270833333314,-1753.2733055555545,-1472.775805555555,-0.5555555555555571,0.006666666666666821,-45.55555555555475,-44.44444444444434,0.0,-45.55555555555566,-89.46666666666624,0.0,-1.1111111111110858,-76.26666666666733,-13.199999999999989,0.0,-0.02499999999999991,Mar-11
15,-5.769694988888889,0.6989590000000003,1.0262162222222209,0.12731055550562154,-0.006741092854102293,-2102.618166666667,-3520.4998703703604,-1766.5094629629602,-1753.9955370370335,-1477.509944444444,-0.5555555555555571,0.0007407407407407085,-22.592592592591245,-22.222222222222626,0.0,-22.592592592592155,-88.11111111111131,0.0,-0.37037037037043774,-75.11111111111131,-13.0,0.0,-0.005555555555555536,Apr-11
16,-2.1496316222222234,0.2713546666666655,0.7755211111111109,0.10798467609684792,0.03625633902976877,-2102.3608055555524,-3522.0034907407316,-1767.2918425925927,-1754.7177685185197,-1482.244083333333,-0.5555555555555571,-0.0051851851851849595,0.37037037036861875,0.0,0.0,0.37037037037043774,-86.75555555555547,0.0,0.37037037037043774,-73.95555555555575,-12.799999999999983,0.0,0.04555555555555557,May-11
17,-2.5331517000000003,-0.07065911111111234,0.5048608888888886,0.14083513802422953,0.029527023067445035,-2102.1034444444485,-3523.507111111103,-1768.0742222222216,-1755.4399999999987,-1486.9782222222202,-0.5555555555555571,-0.011111111111111072,23.33333333333212,22.222222222222626,0.0,23.33333333333303,-85.39999999999964,0.0,1.1111111111110858,-72.80000000000018,-12.599999999999994,0.0,0.1594444444444444,Jun-11
18,-2.9503234444444457,-0.05555466666666575,0.23524255555555484,0.09144049852619274,0.03936308308097802,-2095.065787037034,-3513.0918518518447,-1762.8511111111147,-1750.2473240740765,-1486.262333333334,-0.47222222222222854,-0.017870370370370425,28.796296296295623,27.777777777777374,0.0,28.796296296295623,-84.0444444444438,0.0,1.0185185185184764,-71.64444444444462,-12.400000000000006,0.0,0.18333333333333335,Jul-11
19,-2.9091576222222217,0.20156177777777806,-0.4784725555555589,0.065929395555269,0.05483320812142001,-2088.0281296296307,-3502.6765925925865,-1757.6280000000006,-1745.054648148147,-1485.5464444444424,-0.38888888888888573,-0.02462962962962978,34.25925925926276,33.33333333333394,0.0,34.259259259260034,-82.68888888888796,0.0,0.9259259259259807,-70.48888888888905,-12.199999999999989,0.0,-0.004444444444444473,Aug-11
