index,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price,Date-Monthly
30,-0.776792781111111,-0.7769675555555544,-0.010184222222225259,0.35523580823300827,0.32131364915376914,-1498.4789999999994,-3052.1995000000024,-1521.1818518518558,-1531.019194444445,-1795.752657407409,-2.787037037037038,0.33777777777777773,414.35185185184673,407.40740740740694,0.0,414.3518518518522,482.222222222219,0.0,6.944444444444343,495.1851851851825,-12.96296296296299,0.0,-0.08666666666666667,Jul-12
31,1.8331636377777778,0.15978044444444706,0.10636533333333631,0.4211074970185621,0.40108442561649205,-1492.3533333333326,-3043.829333333342,-1516.8057037037033,-1527.02516666667,-1792.7155370370383,-2.6851851851851904,0.32555555555555554,389.8148148148175,381.48148148148175,0.0,389.8148148148157,468.44444444444525,0.0,8.333333333333485,481.0370370370365,-12.59259259259261,0.0,-0.1333333333333333,Aug-12
32,-2.828452622222222,-0.6807876666666672,0.11012822222222596,0.41622990100690227,0.38131063175707025,-1486.2276666666658,-3035.4591666666747,-1512.4295555555545,-1523.031138888884,-1789.6784166666675,-2.5833333333333286,0.3133333333333333,365.277777777781,355.55555555555475,0.0,365.2777777777774,454.66666666666424,0.0,9.722222222222172,466.8888888888905,-12.222222222222229,0.0,-0.08666666666666656,Sep-12
33,-2.9455699133333333,0.26336700000000235,0.3461800000000004,0.3985143152673303,0.33198272797911255,-1480.1019999999917,-3027.089000000007,-1508.0534074074021,-1519.037111111109,-1786.6412962962931,-2.481481481481481,0.3011111111111111,340.74074074073724,329.62962962962956,0.0,340.7407407407409,440.8888888888905,0.0,11.111111111110858,452.74074074073724,-11.851851851851848,0.0,-0.10777777777777775,Oct-12
34,-1.164560244444445,0.13460766666666402,-0.046296888888896603,0.38337080269221646,0.33581100293329413,-1473.9763333333321,-3018.7188333333324,-1503.677259259257,-1515.0430833333303,-1783.6041759259278,-2.3796296296296333,0.28888888888888886,316.203703703708,303.7037037037044,0.0,316.2037037037044,427.1111111111095,0.0,12.5,438.59259259259125,-11.481481481481467,0.0,-0.04777777777777781,Nov-12
35,-3.183966399999999,-0.3529531111111126,0.16053266666666133,0.3529581573630164,0.27578654091584265,-1467.8506666666726,-3010.348666666672,-1499.3011111111118,-1511.0490555555589,-1780.5670555555535,-2.2777777777777715,0.27666666666666667,291.66666666666424,277.7777777777774,0.0,291.66666666666606,413.33333333333576,0.0,13.888888888888687,424.44444444444525,-11.111111111111086,0.0,-0.023333333333333428,Dec-12
36,2.7408445500000003,0.26180533333333145,0.5938096666666723,0.31776880472839353,0.26610122511707646,-761.9063425925851,-1613.4006203703757,-803.6758888888908,-809.7258240740775,-967.2984814814827,-1.3981481481481524,0.20111111111111107,511.574074074073,462.9629629629617,0.0,511.574074074073,192.8888888888905,0.0,48.61111111111086,198.074074074073,-5.185185185185162,0.0,0.12888888888888905,Jan-13
37,-5.492292899999999,-0.06093744444444127,0.2480334444444452,0.3112550058856197,0.2634431806426337,-762.5394074074065,-1616.8146296296327,-805.141111111112,-811.6747037037021,-970.7837407407442,-1.2962962962962905,0.18888888888888883,487.0370370370365,437.0370370370383,0.0,487.0370370370383,179.1111111111095,0.0,50.0,183.925925925927,-4.814814814814838,0.0,0.13222222222222224,Feb-13
38,4.823027033333334,-0.21394666666666495,0.17448033333333512,0.27265153232436456,0.264337046728634,-763.1724722222207,-1620.2286388888897,-806.6063333333295,-813.623583333334,-974.2690000000002,-1.1944444444444429,0.17666666666666664,462.5,411.1111111111113,0.0,462.5,165.33333333333576,0.0,51.38888888888869,169.777777777781,-4.444444444444457,0.0,0.03166666666666662,Mar-13
39,-6.994137111111112,-0.7542837777777756,-0.25219755555555423,0.17782988816851975,0.19553997802526224,-763.8055370370348,-1623.6426481481467,-808.071555555558,-815.5724629629622,-977.7542592592563,-1.0925925925925952,0.16444444444444445,437.9629629629635,385.1851851851843,0.0,437.9629629629617,151.55555555555475,0.0,52.77777777777783,155.62962962962774,-4.074074074074076,0.0,0.054444444444444295,Apr-13
40,-6.452594444444443,-0.19305544444444322,0.22552111111111373,0.14424808126168387,0.22497160826930007,-764.4386018518562,-1627.056657407411,-809.5367777777756,-817.521342592594,-981.2395185185178,-0.9907407407407476,0.15222222222222226,413.425925925927,359.25925925926094,0.0,413.425925925927,137.777777777781,0.0,54.16666666666697,141.48148148148175,-3.7037037037036953,0.0,0.09888888888888903,May-13
41,-1.2993157888888887,-0.9892366666666632,-0.1427073333333304,0.1139732255662943,0.08917815761551284,-765.0716666666704,-1630.4706666666752,-811.0020000000004,-819.4702222222222,-984.7247777777757,-0.8888888888888857,0.14000000000000004,388.8888888888905,333.33333333333394,0.0,388.8888888888887,124.0,0.0,55.55555555555566,127.33333333333576,-3.3333333333333144,0.0,0.1511111111111113,Jun-13
42,-0.269667781111111,-0.6899885555555549,0.2929387777777741,0.17114885746248865,0.21549121038748242,-758.4420000000027,-1618.1560833333351,-804.6959351851874,-813.4617777777785,-978.4686574074076,-0.7870370370370381,0.1086111111111111,368.518518518511,315.7407407407409,0.0,368.51851851851825,110.22222222221899,0.0,52.77777777777783,113.18518518518249,-2.9629629629629903,0.0,0.2733333333333332,Jul-13
43,0.08373793777777805,-0.6449085555555563,0.03084533333333539,0.18080237565345258,0.12550515799595363,-751.8123333333351,-1605.8415000000095,-798.3898703703708,-807.4533333333347,-972.2125370370359,-0.6851851851851904,0.07722222222222219,348.14814814815327,298.1481481481478,0.0,348.14814814814963,96.44444444444525,0.0,50.0,99.0370370370365,-2.5925925925926094,0.0,0.4666666666666668,Aug-13
44,-0.4478334222222218,0.1192133333333345,0.7137732222222262,0.18547819425263812,0.17554477860040163,-745.1826666666675,-1593.5269166666694,-792.0838055555541,-801.4448888888837,-965.956416666666,-0.5833333333333286,0.04583333333333328,327.777777777781,280.55555555555475,0.0,327.7777777777774,82.66666666666424,0.0,47.22222222222217,84.8888888888905,-2.2222222222222285,0.0,0.5933333333333334,Sep-13
45,0.05022448666666701,0.25086800000000054,0.3180550000000011,0.050549560018463446,0.1662677283832953,-738.5529999999926,-1581.2123333333366,-785.7777407407375,-795.43644444444,-959.7002962962924,-0.48148148148148096,0.014444444444444482,307.4074074074015,262.9629629629635,0.0,307.40740740740694,68.8888888888905,0.0,44.44444444444434,70.74074074073724,-1.8518518518518476,0.0,0.5922222222222222,Oct-13
46,-2.605907744444444,0.05075266666666778,0.4568271111111031,0.13865641304517817,0.1517240521627744,-731.9233333333323,-1568.8977500000037,-779.4716759259245,-789.4279999999962,-953.4441759259262,-0.3796296296296333,-0.016944444444444373,287.0370370370438,245.37037037037044,0.0,287.0370370370383,55.111111111109494,0.0,41.666666666666515,56.592592592591245,-1.4814814814814667,0.0,0.5722222222222222,Nov-13
