,Average dietary energy supply adequacy (percent) (3-year average),Date-Monthly,Political stability and absence of violence/terrorism (index)
0,102.0,Jun-10,0.01
1,103.0,Jun-11,-0.02
2,104.0,Jun-12,0.05
3,106.0,Jun-13,-0.16
4,108.0,Jun-14,-0.6
5,110.0,Jun-15,-0.42
6,110.0,Jun-16,-0.44
7,110.0,Jun-17,-0.56
8,109.0,Jun-18,-0.56
