,Average dietary energy supply adequacy (percent) (3-year average),Date-Monthly,Political stability and absence of violence/terrorism (index)
0,97.0,Jun-10,-1.17
1,97.0,Jun-11,-1.24
2,98.0,Jun-12,-1.32
3,98.0,Jun-13,-1.17
4,99.0,Jun-14,-1.28
5,98.0,Jun-15,-1.24
6,97.0,Jun-16,-1.35
7,97.0,Jun-17,-1.13
8,97.0,Jun-18,-1.16
