,Average dietary energy supply adequacy (percent) (3-year average),Date-Monthly,Political stability and absence of violence/terrorism (index)
0,108.0,Jun-10,-0.27
1,110.0,Jun-11,-0.18
2,110.0,Jun-12,-0.23
3,107.0,Jun-13,-0.11
4,102.0,Jun-14,-0.31
5,99.0,Jun-15,0.01
6,98.0,Jun-16,-0.05
7,98.0,Jun-17,0.09
8,97.0,Jun-18,0.12
