Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 persons","20040.72","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2008","2008","1000 persons","30222.715","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2008","2008","1000 persons","8925.701","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 persons","40901.792","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 persons","20305.443","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 persons","20596.355","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 persons","30909.074","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 persons","9328.13","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 persons","42030.676","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 persons","20868.842","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 persons","21161.842","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 persons","31603.483","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 persons","9746.669","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 persons","43178.274","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 persons","21441.112","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 persons","21737.158","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 persons","32303.238","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 persons","10183.601","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 persons","44343.467","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 persons","22021.761","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 persons","22321.708","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 persons","33007.2","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 persons","10639.429","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","45519.981","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 persons","22607.797","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 persons","22912.189","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 persons","33712.691","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 persons","11114.158","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 persons","46700.055","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 persons","23195.58","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 persons","23504.483","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 persons","34416.636","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 persons","11607.614","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","47878.336","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 persons","23782.609","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 persons","24095.73","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","35116.503","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","12119.756","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 persons","49051.534","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","24367.251","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","24684.28","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 persons","35810.733","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 persons","12650.834","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","50221.142","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","24950.142","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","25271.004","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 persons","36498.515","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 persons","13201.347","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","51392.565","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","25533.874","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","25858.696","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","37179.074","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","13771.805","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
