,Date-Monthly,DAP,Urea
0,Mar-10,0.7198130470248463,0.5831257302850592
1,Apr-10,0.7374501201525607,0.5908419497784343
2,May-10,0.7264269494477392,0.5710002425097556
3,Jun-10,0.6911528031923103,0.5511585352410767
4,Jul-10,0.7418593884344893,0.5732048766507198
5,Aug-10,0.7209153640953284,0.5820234132145771
6,Sep-10,0.7352454860115964,0.567693291298309
7,Oct-10,0.7716219493375075,0.5103728036332371
8,Nov-10,0.8366586564959545,0.567693291298309
9,Dec-10,0.846579510130294,0.574307193721202
10,Jan-11,0.8598073149760798,0.5908419497784343
11,Feb-11,0.905002314865848,0.668004144712185
12,Mar-11,0.8355563394254724,0.610683657047113
13,Apr-11,0.9777552415176702,0.653674022795917
14,May-11,0.9446857294032056,0.7087898763200248
15,Jun-11,0.9645274366718843,0.6867435349103816
16,Jul-11,0.9072069490068123,0.696664388544721
17,Aug-11,0.8796490222447585,0.7154037787429177
18,Sep-11,0.9656297537423665,0.7341431689411143
19,Oct-11,0.8796490222447585,0.6878458519808638
20,Nov-11,1.0736568266496176,0.8002821931700435
21,Dec-11,1.1464097533014397,0.868625851539937
22,Jan-12,1.2224696311647083,0.9799598756586345
23,Feb-12,1.2257765823761548,0.9314579245574197
24,Mar-12,1.1442051191604754,0.9314579245574197
25,Apr-12,1.1442051191604754,0.9314579245574197
26,May-12,1.1100332899755285,0.9612204854604379
27,Jun-12,1.070349875438171,0.9061046319363302
28,Jul-12,1.091293899777332,0.9931876805044203
29,Aug-12,1.1166471923984216,1.0031085341387598
30,Sep-12,1.0901915827068498,0.9347648757688662
31,Oct-12,1.0979078022002249,0.8091007297339007
32,Nov-12,1.0648382900857603,0.9557089001080271
33,Jan-13,1.0328710950417779,0.839965607707401
34,Feb-13,1.0086201194911706,0.8708304856809013
35,Mar-13,0.9722436561652594,0.8730351198218657
36,Apr-13,0.9898807292929739,0.7716219493375075
37,May-13,0.9898807292929739,0.8697281686104191
38,Jun-13,0.9898807292929739,0.8697281686104191
39,Jul-13,0.9402764611212769,0.7705196322670254
40,Aug-13,0.9182301197116339,0.739654754293525
41,Sep-13,0.9215370709230803,0.8454771930598117
42,Oct-13,0.9601181683899558,0.739654754293525
43,Nov-13,0.9138208514297053,0.7837474371128111
44,Dec-13,0.9314579245574197,0.7594964615622037
45,Jan-14,0.9171278026411518,0.7253246323772571
46,Feb-14,0.9457880464736877,0.7793381688308826
47,Mar-14,0.8994907295134373,0.7187107299543641
48,Apr-14,0.9005930465839195,0.7054829251085782
49,May-14,0.8779955466390353,0.6757203642055601
50,Jun-14,0.8553980466941512,0.668004144712185
51,Jul-14,0.8333517052845081,0.6514693886549527
52,Aug-14,0.8587049979055976,0.6757203642055601
53,Sep-14,0.81902158336824,0.6713110959236315
54,Oct-14,0.8168169492272758,0.6988690226856853
55,Nov-14,0.8002821931700435,0.6691064617826672
56,Dec-14,0.7859520712537755,0.6558786569368814
57,Jan-15,0.7991798760995613,0.66028792521881
58,Sep-15,0.7352454860115964,0.5809210961440949
59,Oct-15,0.768314998126061,0.6029674375537379
60,Nov-15,0.7859520712537755,0.6195021936109703
61,Dec-15,0.7804404859013647,0.6161952423995238
62,Jan-16,0.7716219493375075,0.6150929253290417
63,Feb-16,0.7782358517604004,0.6206045106814524
64,Jun-16,0.7253246323772571,0.559977071804934
65,Jul-16,0.7242223153067748,0.545646949888666
66,Aug-16,0.7341431689411143,0.5577724376639697
67,Sep-17,0.6702087788531493,0.524702925549505
68,Oct-17,0.6801296324874887,0.5291121938314337
69,Nov-17,0.6801296324874887,0.5346237791838445
70,Dec-17,0.6812319495579708,0.5357260962543267
71,Jan-18,0.6757203642055601,0.5346237791838445
72,Feb-18,0.6999713397561675,0.5533631693820411
73,Mar-18,0.6999713397561675,0.5489539011001124
74,Apr-18,0.6823342666284531,0.5324191450428801
75,May-18,0.6856412178398995,0.5357260962543267
76,Jun-18,0.6724134129941136,0.5302145109019158
77,Jul-18,0.6724134129941136,0.5544654864525232
78,Aug-18,0.6768226812760423,0.5533631693820411
79,Sep-18,0.6944597544037567,0.545646949888666
80,Oct-18,0.7429617055049715,0.5566701205934875
81,Nov-18,0.7374501201525607,0.5698979254392734
82,Dec-18,0.7253246323772571,0.6073767058356666
83,Jan-19,0.7120968275314712,0.6084790229061487
84,Feb-19,0.7253246323772571,0.6161952423995238
85,Mar-19,0.7440640225754537,0.6294230472453096
86,Apr-19,0.7341431689411143,0.6150929253290417
87,May-19,0.7330408518706321,0.6139906082585596
88,Jun-19,0.7341431689411143,0.6150929253290417
89,Jul-19,0.7253246323772571,0.6073767058356666
90,Aug-19,0.6845389007694174,0.5511585352410767
91,Sep-19,0.7209153640953284,0.5500562181705946
92,Oct-19,0.6735157300645959,0.5368284133248088
93,Nov-19,0.6580832910778457,0.5368284133248088
94,Dec-19,0.6558786569368814,0.5302145109019158
95,Jan-20,0.6900504861218281,0.5831257302850592
96,Feb-20,0.6349346325977204,0.5610793888754162
97,Mar-20,0.6657995105712208,0.6018651204832558
98,Apr-20,0.6150929253290417,0.5588747547344518
99,May-20,0.6062743887651845,0.5412376816067374
100,Jun-20,0.6018651204832558,0.5302145109019158
