,Date-Monthly,DAP,Urea
0,Jul-10,0.5654886571573448,0.488326462223594
1,Aug-10,0.7275292665182214,0.552260852311559
2,Sep-10,0.8476818272007761,0.6261160960338632
3,Oct-10,0.862011949117044,0.6459578033025419
4,Nov-10,0.7870543883242577,0.5776141449326485
5,Dec-10,0.7242223153067748,0.5500562181705946
6,Jan-11,0.8002821931700435,0.6040697546242202
7,Feb-11,0.7848497541832933,0.610683657047113
8,Mar-11,0.9160254855706695,0.6360369496682026
9,Apr-11,0.9077581075420534,0.6349346325977204
10,May-11,0.8994907295134373,0.6239114618928989
11,Jun-11,0.9160254855706695,0.6691064617826672
12,Jul-11,0.9061046319363302,0.66028792521881
13,Aug-11,1.0549174364514209,0.7694173151965431
14,Sep-11,1.1221587777508324,0.8785467051742764
15,Oct-11,1.0934985339182963,0.8311470711435438
16,Nov-11,1.1166471923984216,0.8763420710333121
17,Dec-11,1.1155448753279393,0.8697281686104191
18,Jan-12,1.1144425582574573,0.8763420710333121
19,Feb-12,1.1144425582574573,0.8730351198218657
20,Mar-12,1.112237924116493,0.8708304856809013
21,Apr-12,1.112237924116493,0.8708304856809013
22,May-12,1.1111356070460108,0.8708304856809013
23,Jun-12,1.1166471923984216,0.8741374368923478
24,Jul-12,1.1111356070460108,0.8708304856809013
25,Aug-12,1.1023170704821534,0.868625851539937
26,Apr-13,1.0505081681694923,0.8752397539628299
27,May-13,1.04940585109901,0.8752397539628299
28,Jun-13,1.0251548755484028,0.854295729623669
29,Jul-13,1.0361780462532244,0.8642165832580084
30,Aug-13,1.0350757291827422,0.8631142661875262
31,Sep-13,1.2875063383231553,1.0979078022002249
32,Oct-13,1.2323904847990477,1.0438942657465995
33,Nov-13,1.2489252408562799,1.062633655944796
34,Dec-13,1.2356974360104942,1.0383826803941887
35,Jan-14,1.2246742653056726,1.0284618267598493
36,Feb-14,1.2841993871117088,1.0659406071562425
37,Mar-14,1.2786878017592982,1.061531338874314
38,May-14,1.2886086553936376,1.0670429242267245
39,Jun-14,1.2886086553936376,1.0670429242267245
40,Sep-15,0.9524019488965807,0.7617010957031681
41,Oct-15,0.9061046319363302,0.7242223153067748
42,Nov-15,0.8840582905266872,0.7054829251085782
43,Dec-15,0.8840582905266872,0.7054829251085782
44,Jan-16,0.8840582905266872,0.7043806080380961
45,Feb-16,0.8807513393152406,0.7021759738971318
46,Sep-17,0.7319385348001499,0.5875349985669879
47,Oct-17,0.7308362177296678,0.5853303644260235
48,Nov-17,0.7198130470248463,0.5765118278621663
49,Dec-17,0.7165060958133999,0.574307193721202
50,Jan-18,0.7165060958133999,0.574307193721202
51,Feb-18,0.717608412883882,0.5754095107916841
52,Mar-18,0.7120968275314712,0.5710002425097556
53,Apr-18,0.7098921933905069,0.5698979254392734
54,May-18,0.7087898763200248,0.567693291298309
55,Jun-18,0.7065852421790604,0.5654886571573448
56,Jul-18,0.7903613395357041,0.6691064617826672
57,Aug-18,0.7848497541832933,0.6646971935007386
58,Sep-18,0.7804404859013647,0.6613902422892921
59,Oct-18,0.7815428029718469,0.6613902422892921
60,Nov-18,0.7771335346899183,0.6580832910778457
61,Dec-18,0.7738265834784718,0.6558786569368814
62,Jan-19,0.7727242664079896,0.6547763398663992
63,Feb-19,0.7694173151965432,0.6514693886549527
64,Mar-19,0.7672126810555788,0.6503670715844706
65,Apr-19,0.7572918274212395,0.6415485350206134
66,May-19,0.7517802420688288,0.6371392667386847
67,Jun-19,0.7484732908573822,0.6338323155272383
68,Jul-19,0.7440640225754537,0.6305253643157919
69,Aug-19,0.6988690226856853,0.5809210961440949
70,Sep-19,0.5820234132145771,0.5798187790736128
71,Oct-19,0.6735157300645959,0.5996604863422915
72,Nov-19,0.6161952423995238,0.5577724376639697
73,Dec-19,0.6139906082585596,0.5555678035230054
